vx	vy
     -0.08	      2.17
      0.53	     -0.10
     -0.56	     -1.79
     -0.02	      0.82
     -0.55	     -1.44
     -0.88	      0.37
     -0.02	     -0.29
      0.06	      0.37
     -1.49	     -0.35
     -0.10	      0.96
     -0.06	      0.48
      0.25	     -0.60
      1.85	      1.02
     -0.81	     -1.00
      0.70	      0.44
      0.09	      0.18
     -0.38	     -1.98
      0.28	      0.34
     -2.35	     -1.64
      1.15	     -0.92
     -0.22	      0.24
     -0.72	      1.47
     -0.83	     -0.50
     -0.14	      1.31
      0.86	      0.20
