vx	vy
      0.26	      0.49
      0.91	     -0.24
     -1.54	      0.80
      0.24	      1.08
      1.43	      0.57
     -0.22	      0.44
     -1.62	      0.39
      1.07	      1.30
      1.33	     -0.32
      0.13	      1.61
     -0.28	     -1.94
     -0.49	     -1.89
      0.29	     -1.58
     -0.42	     -0.31
      0.02	     -1.49
     -1.73	      0.86
      0.78	     -0.33
     -0.23	      0.93
      1.02	      1.17
      0.19	     -0.56
     -1.67	     -0.37
      0.51	      0.16
     -0.31	     -0.21
      0.24	     -0.76
      0.45	     -1.09
