vx	vy
      0.26	     -0.49
      0.84	     -0.62
     -1.05	     -1.13
     -0.25	      0.65
     -0.14	      0.93
     -1.61	      0.22
      0.26	      1.03
      1.07	      1.30
      0.47	     -0.05
      0.13	      1.61
     -1.08	     -0.73
     -0.49	     -1.89
      0.29	     -1.58
      1.22	     -0.29
      0.88	     -1.76
     -0.10	      2.33
      0.78	     -0.33
     -0.23	      0.93
      0.62	     -0.82
      0.19	      0.56
     -1.67	     -0.37
      0.51	      0.16
     -1.22	      1.03
      0.24	     -0.76
      0.45	     -1.09
