vx	vy
     -0.27	     -1.41
     -0.01	     -1.39
      1.16	     -1.33
     -0.59	      0.71
     -0.71	     -0.50
      0.03	     -0.68
     -0.37	     -0.49
     -0.40	     -1.28
     -1.49	     -0.35
     -0.10	      0.96
      0.09	     -1.18
     -0.29	      1.49
      0.08	      1.79
     -0.91	     -0.51
      0.70	      0.44
      0.62	     -0.28
     -0.38	     -1.98
      0.28	      0.34
     -0.12	      2.14
      0.63	      0.37
      1.94	     -1.32
     -0.72	      1.47
     -0.23	      0.79
      1.22	      0.38
      0.86	      0.20
