vx	vy
      0.26	     -0.49
     -0.24	      1.03
     -1.05	     -1.13
      0.75	      0.82
     -0.14	      0.93
     -0.09	     -0.28
      0.26	      1.03
      0.17	     -1.14
      0.57	     -1.08
     -0.83	     -1.16
     -2.01	      0.32
     -0.49	     -1.89
     -0.45	      2.26
      1.22	     -0.29
      1.85	      1.01
      0.64	     -1.52
     -0.78	     -0.33
     -0.23	      0.93
      0.62	     -0.82
     -1.24	     -0.75
     -1.67	     -0.37
      0.51	      0.16
     -0.29	     -0.02
      1.14	     -0.92
      0.35	     -0.06
