vx	vy
      0.61	     -0.27
      1.58	      0.04
     -0.44	      1.63
      1.47	     -0.89
     -0.25	      1.66
     -0.86	      0.94
      1.38	     -1.85
     -1.37	      0.14
      0.31	      1.43
      1.18	     -0.53
      0.02	     -0.50
     -1.19	     -1.08
      0.57	      0.53
      0.30	      0.45
     -2.29	     -0.77
     -0.09	      0.18
     -0.87	      0.55
      1.26	      0.27
     -1.46	     -1.14
      1.06	      0.42
     -0.36	      0.71
      0.13	      0.49
      0.05	      0.63
      0.32	      0.99
      0.86	      0.20
