vx	vy
      0.61	     -0.27
      1.58	      0.04
     -0.44	      1.63
      0.38	     -1.16
     -1.03	     -0.02
     -0.86	      0.94
      1.53	     -1.11
     -0.58	      1.81
      0.43	      0.69
      1.18	     -0.53
      0.02	     -0.50
     -1.19	     -1.08
      0.57	      0.53
      0.30	      0.45
     -2.29	     -0.77
     -0.09	      0.18
     -0.87	      0.55
      2.20	     -0.20
     -1.46	     -1.14
      1.06	      0.42
     -0.36	      0.71
      0.13	      0.49
     -0.07	      1.37
      0.32	      0.99
      0.86	      0.20
