vx	vy
      0.61	     -0.27
      0.85	     -0.42
     -0.44	      1.63
      1.43	     -0.35
     -0.39	     -0.90
      0.29	     -0.83
      1.53	      1.11
      0.19	      1.33
     -0.62	     -0.26
      1.38	      1.09
      0.90	      0.27
     -1.08	      1.98
      0.57	      0.53
      0.49	      1.26
     -0.19	     -1.47
     -0.09	      0.18
     -0.87	     -0.55
     -2.20	     -0.20
      0.73	     -0.62
     -0.62	     -0.01
      0.36	     -0.71
      0.13	     -0.49
     -0.43	     -0.11
     -1.04	      0.53
      2.62	     -0.39
