vx	vy
      0.26	      0.49
      0.91	     -0.24
     -1.54	      0.80
     -1.64	      0.44
     -0.14	      0.93
     -0.22	      0.44
      0.26	      1.03
      1.07	      1.30
      1.33	     -0.32
      0.13	      1.61
     -1.08	     -0.73
     -0.49	     -1.89
      0.29	     -1.58
      1.15	     -0.67
      0.02	     -1.49
     -1.73	      0.86
      0.78	     -0.33
     -0.23	      0.93
      1.02	      1.17
      0.19	      0.56
     -1.67	     -0.37
      0.51	      0.16
      0.50	     -1.42
      0.24	     -0.76
      0.45	     -1.09
