vx	vy
     -0.08	      2.17
     -0.01	     -1.39
      0.65	     -1.34
     -0.59	      0.71
     -0.71	     -0.50
      0.03	     -0.68
     -0.37	     -0.49
     -1.10	     -1.06
     -1.49	     -0.35
     -0.10	      0.96
      0.09	     -1.18
      0.41	      1.27
     -0.59	     -0.62
     -0.91	     -0.51
      0.70	      0.44
      1.12	     -0.26
     -0.38	     -1.98
      0.28	      0.34
     -2.35	     -1.64
      0.63	      0.37
     -0.06	      1.30
     -0.72	      1.47
     -0.23	      0.79
      1.22	      0.38
      0.86	      0.20
