vx	vy
     -2.44	      0.44
      0.66	      1.47
     -0.44	      1.63
      1.47	     -0.89
      0.63	      0.43
     -0.86	     -0.94
      1.14	      0.59
      0.06	      0.37
      0.31	      1.43
     -1.96	      0.09
      0.02	     -0.50
     -1.17	     -1.10
     -0.68	     -1.60
      0.32	     -0.38
      0.62	     -0.54
      0.09	      0.18
      0.87	      0.55
      1.26	      0.27
     -0.21	      0.99
      1.06	     -0.42
     -0.22	     -0.24
      0.37	     -1.95
     -1.40	      0.42
      0.32	      0.99
      0.86	      0.20
