vx	vy
      0.26	     -0.49
     -0.24	      1.03
      2.20	     -0.06
      0.75	      0.82
     -0.14	      0.93
     -0.09	     -0.28
      0.26	      1.03
      0.17	     -1.14
      0.57	     -1.08
     -0.83	     -1.16
      1.26	     -0.26
     -0.49	     -1.89
     -0.45	      2.26
      1.22	     -0.29
     -1.40	     -0.06
      0.64	     -1.52
      0.32	      0.43
     -0.23	      0.93
      0.62	     -0.82
     -1.24	      0.75
     -1.58	      0.19
     -0.59	     -0.60
     -0.38	     -0.59
     -2.13	     -0.34
      0.35	     -0.06
