vx	vy
      0.26	     -0.49
     -1.61	      0.24
      2.20	     -0.06
      0.75	      0.82
     -0.14	      0.93
     -0.09	     -0.28
      0.26	      1.03
     -2.15	     -1.10
     -1.36	     -1.16
      0.95	      0.08
     -0.72	     -1.36
     -0.49	     -1.89
     -0.45	      2.26
      0.79	     -0.75
      0.53	      0.02
      0.64	     -1.52
     -1.10	     -0.09
     -0.23	      0.93
     -0.16	     -0.30
     -1.24	      0.75
      0.40	      1.29
     -0.59	     -0.60
     -0.38	     -0.59
      0.19	     -0.39
      0.35	     -0.06
