vx	vy
     -0.08	     -2.17
      0.53	     -0.10
      0.43	      0.26
     -0.09	      1.14
     -0.55	     -1.44
      0.74	     -0.46
      0.64	     -0.26
      0.06	      0.37
      0.15	     -0.65
     -1.50	     -0.34
     -0.06	      0.48
     -0.70	      1.19
      1.85	      1.02
     -0.81	     -1.00
      0.70	     -0.44
      0.09	      0.18
     -0.38	      1.98
     -0.71	     -1.72
     -2.35	     -1.64
     -1.06	     -0.44
     -0.22	      0.24
      0.00	      1.28
     -0.83	     -0.50
     -0.14	      1.31
      0.86	      0.20
