vx	vy
     -0.26	     -0.49
     -1.61	      0.24
      1.39	      1.25
      0.75	      0.82
     -0.14	      0.93
     -0.01	     -0.86
     -0.55	      1.05
     -2.15	     -1.10
     -1.36	     -1.16
      0.95	      0.08
     -0.72	     -1.36
      0.49	     -1.89
     -0.45	     -2.26
      0.71	     -0.17
      0.53	      0.02
      0.97	     -0.96
     -0.31	     -0.56
     -0.23	      0.93
     -0.48	     -1.70
      1.24	      0.75
      0.40	      1.29
      0.22	     -0.62
     -0.38	     -0.59
      0.19	     -0.39
      0.35	     -0.06
