vx	vy
     -2.44	      0.44
      0.66	      1.47
     -0.44	      1.63
      1.19	     -0.55
      0.63	      0.43
      0.74	      0.46
      0.64	     -0.26
      0.06	      0.37
     -1.79	     -0.98
      1.68	      0.23
      0.02	     -0.50
     -0.70	      1.19
     -0.68	     -1.60
      0.32	     -0.38
      0.62	      0.54
      0.09	      0.18
      0.87	      0.55
     -1.09	     -1.64
     -0.21	      0.99
      1.06	     -0.42
     -0.22	     -0.24
      0.37	     -1.95
     -1.40	      0.42
     -0.14	     -1.31
      0.86	      0.20
