vx	vy
      2.44	      0.44
     -0.71	     -0.42
      0.43	      0.26
      1.19	     -0.55
      0.63	      0.43
      0.74	      0.46
      0.64	     -0.26
      0.06	      0.37
      0.15	     -0.65
      1.68	      0.23
      0.02	     -0.50
     -0.70	      1.19
     -0.68	     -1.60
      0.32	     -0.38
      0.62	      0.54
      0.09	      0.18
     -0.01	      1.91
     -1.09	     -1.64
     -0.21	      0.99
      1.01	      1.48
     -0.22	     -0.24
     -1.57	     -2.27
     -1.40	      0.42
     -0.14	     -1.31
      0.86	      0.20
