vx	vy
      0.61	     -0.27
      0.85	     -0.42
     -0.44	      1.63
      0.38	     -1.16
     -1.03	     -0.02
      0.82	      1.37
      1.53	     -1.11
     -0.58	      1.81
     -1.77	      0.17
      1.18	     -0.53
      0.02	     -0.50
     -1.19	     -1.08
      0.57	      0.53
      1.03	      0.91
     -0.19	      1.47
     -0.09	      0.18
     -0.87	      0.55
      2.20	     -0.20
      0.73	     -0.62
     -0.62	     -0.01
      0.36	     -0.71
      0.13	      0.49
     -0.07	      1.37
     -1.78	     -1.26
      0.86	      0.20
