vx	vy
     -0.26	     -0.49
     -0.60	     -1.64
      1.39	      1.25
      0.29	     -0.30
      1.05	      1.87
     -0.01	     -0.86
     -0.68	      1.67
      2.15	     -1.10
     -1.36	     -1.16
      0.60	      0.68
      0.05	      0.10
      0.65	      0.70
     -0.45	     -2.26
      0.71	     -0.17
      0.53	      0.02
      0.97	     -0.96
      0.02	     -0.72
      0.80	      0.07
     -0.73	      0.19
      0.18	     -0.90
      0.40	     -1.29
      0.05	     -1.57
     -0.38	     -0.59
      0.19	     -0.39
     -0.42	     -1.51
